Date,Category,Value,Product,Sales,Region
2023-01-01,A,28.0,Product1,754.0,East
2023-01-02,B,39.0,Product3,110.0,North
2023-01-03,C,32.0,Product5,398.0,East
2023-01-04,B,8.0,Product1,522.0,East
2023-01-05,B,26.0,Product3,869.0,North
2023-01-06,B,54.0,Product3,192.0,West
2023-01-07,A,16.0,Product1,36.0,East
2023-01-08,C,,Product1,488.0,West
2023-01-09,C,37.0,Product3,772.0,West
2023-01-10,A,,Product2,834.0,West
2023-01-11,B,7.0,Product1,842.0,North
2023-01-12,B,60.0,Product2,0.0,West
2023-01-13,A,70.0,Product3,628.0,South
2023-01-14,A,69.0,Product1,423.0,East
2023-01-15,A,47.0,Product2,893.0,West
2023-01-16,C,0.0,Product1,895.0,North
2023-01-17,C,93.0,Product2,511.0,South
2023-01-18,C,0.0,Product1,0.0,West
2023-01-19,A,31.0,Product2,578.0,West
2023-01-20,A,59.0,Product1,736.0,East
2023-01-21,B,42.0,Product4,612.0
2023-01-22,C,15.0,Product2,245.0,East
2023-01-23,A,88.0,Product5,901.0,South
2023-01-24,B,33.0,Product3,456.0,West
2023-01-25,C,71.0,Product1,789.0,East
2023-01-26,A,19.0,Product4,134.0,North
2023-01-27,B,64.0,Product2,567.0,South
2023-01-28,C,27.0,Product5,321.0,West
2023-01-29,A,90.0,Product3,845.0,East
2023-01-30,B,11.0,Product1,98.0,North
2023-01-31,C,56.0,Product4,672.0,South
2023-02-01,A,73.0,Product2,914.0,West
2023-02-02,B,38.0,Product5,407.0,East
2023-02-03,C,84.0,Product3,756.0,North
2023-02-04,A,24.0,Product1,289.0,South
2023-02-05,B,67.0,Product4,831.0,West
2023-02-06,C,41.0,Product2,519.0,East
2023-02-07,A,95.0,Product5,963.0,North
2023-02-08,B,29.0,Product3,374.0,South
2023-02-09,C,52.0,Product1,688.0,West
