Date,Product,Sales,Region
2023-01-01,Product3,738.0,West
2023-01-02,Product2,868.0,North
2023-01-03,Product2,554.0,West
2023-01-04,Product1,610.0,South
2023-01-05,Product3,501.0,East
2023-01-06,Product1,145.0,West
2023-01-07,Product3,339.0,South
2023-01-08,Product3,280.0,South
2023-01-09,Product2,806.0,North
2023-01-10,Product2,816.0,South
2023-01-11,Product3,469.0,West
2023-01-12,Product3,603.0,East
2023-01-13,Product3,751.0,West
2023-01-14,Product3,676.0,East
2023-01-15,Product1,183.0,South
2023-01-16,Product1,424.0,South
2023-01-17,Product1,504.0,South
2023-01-18,Product1,238.0,North
2023-01-19,Product3,124.0,North
2023-01-20,Product3,732.0,West
